COOP:329425,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT ND US, 48.15,  -103.62
COOP:322183,DICKINSON THEODORE ROOSEVELT REGIONAL AIRPORT ND US, 46.88,  -102.78
COOP:320819,BISMARCK MUNICIPAL AIRPORT ND US, 46,80,   -100.77
COOP:325988,MINOT INTERNATIONAL AIRPORT ND US, 48.27,   -101.29
COOP:324413,JAMESTOWN MUNICIPAL AIRPORT ND US, 46.97,   -98.70
COOP:328276,STANLEY 3 NNW ND US, 48.30,   -102.38
COOP:321435,CAVALIER 7 NW ND US, 48.47,    -97.62
COOP:322859,FARGO HECTOR INTERNATIONAL AIRPORT ND US, 46.87,  -96.78
COOP:320941,BOTTINEAU ND US, 46.83,   -100.45
COOP:321871,CROSBY ND US,48,90   -103.29
