University,Lat,Lon
Boise State University,43.6026,-116.1996
Brigham Young University,40.2518,-111.6493
Colorado School of Mines,39.7510,-105.2226
Colorado State University,40.5734,-105.0865
Idaho National Lab,43.51796,-112.0433
Idaho State University,42.8615,-112.4331
Montana State University,45.6676,-111.0494
NCAR - The National Center for Atmospheric Research,39.978565,-105.274945
NREL - The National Renewable Energy Lab,39.741107,-105.168498
NOAA - The National Oceanic and Atmospheric Administration,39.993795,-105.258954
University of Colorado Boulder,40.0076,-105.2659
University of New Mexico,35.0843,-106.6198
University of Utah,40.7649,-111.8421
University of Wyoming,41.3131,-105.5797
United States Geological Services,39.720128,-105.120099
